stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,stop_timezone,wheelchair_boarding
1BBCA,,Belle-Beille Campus,47.477985,-0.603422,0,Europe/Paris,1
1BEAU,,Beaussier,47.476478,-0.599281,0,Europe/Paris,1
1BRIS,,Brisepotière,47.478593,-0.528214,0,Europe/Paris,1
1CONS,,Conservatoire,47.471389,-0.538152,0,Europe/Paris,1
1CROI,,Deux-Croix,47.475158,-0.52887,0,Europe/Paris,1
1DOUT,,Doutre-Maine,47.47414,-0.560578,0,Europe/Paris,1
1DUNA,,Allonneau-Dunant,47.483927,-0.526811,0,Europe/Paris,1
1ELYS,,Élysée,47.473589,-0.5853739999999999,0,Europe/Paris,1
1EURO,,Europe,47.486621,-0.527035,0,Europe/Paris,1
1FARC,,Farcy,47.47327,-0.577377,0,Europe/Paris,1
1MOLIE,,Molière,47.474077,-0.5555330000000001,0,Europe/Paris,1
1MONP,,Monplaisir,47.489118,-0.5268659999999999,0,Europe/Paris,1
1MTAI,,Montaigne,47.469226,-0.532803,0,Europe/Paris,1
1PATT,,Patton,47.473358,-0.592558,0,Europe/Paris,1
1QUAI,,Le Quai,47.472286,-0.566448,0,Europe/Paris,1
1RALL,,Ralliement,47.471129,-0.551664,0,Europe/Paris,1
2BARR,,La Barre,47.473199,-0.598881,0,Europe/Paris,1
2BBCA,,Belle-Beille Campus,47.478035,-0.603399,0,Europe/Paris,1
2BEAU,,Beaussier,47.476464,-0.5991649999999999,0,Europe/Paris,1
2BRIS,,Brisepotière,47.478503,-0.52823,0,Europe/Paris,1
2CONS,,Conservatoire,47.471461,-0.538178,0,Europe/Paris,1
2CROI,,Deux-Croix,47.475107,-0.528966,0,Europe/Paris,1
2DOUT,,Doutre-Maine,47.474111,-0.560729,0,Europe/Paris,1
2DUNA,,Allonneau-Dunant,47.48383,-0.526843,0,Europe/Paris,1
2ELYS,,Élysée,47.473611,-0.5855359999999999,0,Europe/Paris,1
2EURO,,Europe,47.486624,-0.527159,0,Europe/Paris,1
2FARC,,Farcy,47.473371,-0.577369,0,Europe/Paris,1
2MOLIE,,Molière,47.474054,-0.555608,0,Europe/Paris,1
2MONP,,Monplaisir,47.489111,-0.526948,0,Europe/Paris,1
2MTAI,,Montaigne,47.469298,-0.532867,0,Europe/Paris,1
2PATT,,Patton,47.473402,-0.592728,0,Europe/Paris,1
2QUAI,,Le Quai,47.472248,-0.5666020000000001,0,Europe/Paris,1
2RALL,,Ralliement,47.471223,-0.551601,0,Europe/Paris,1
3BBCA,,Belle-Beille Campus,47.478082,-0.603383,0,Europe/Paris,1
ROYALE,278420,Royale,47.471633,-0.341125,0,Europe/Paris,0
ROYALE-E,437159,Royale,47.4716,-0.34092,0,Europe/Paris,0
WFARC-E,350711,Farcy,47.473028,-0.5772350000000001,0,Europe/Paris,0
BERAUD-E,239457,Les Béraudières,47.504719,-0.440294,0,Europe/Paris,0
BERAUDIE,459554,Les Béraudières,47.504779,-0.440341,0,Europe/Paris,0
BOISNR-E,158612,Boisnerie,47.51158,-0.360022,0,Europe/Paris,0
BOULAIE,565204,Boulaie,47.494179,-0.404213,0,Europe/Paris,0
BOULAI-E,566656,Boulaie,47.494277,-0.40425,0,Europe/Paris,0
CLBEURRE,266602,Clos au Beurre,47.390948,-0.562968,0,Europe/Paris,1
CORNCI-E,535321,Corné Cimetière,47.473545,-0.346383,0,Europe/Paris,1
CORNCIME,19500,Corné Cimetière,47.47361,-0.346382,0,Europe/Paris,1
COSSIE-E,273670,Cossières,47.526266,-0.448348,0,Europe/Paris,0
DOLANT-E,10427,Dolantines,47.527998,-0.445013,0,Europe/Paris,1
FENEU-E,516174,Feneu Eglise,47.569643,-0.594408,0,Europe/Paris,1
GOURGEA,358087,Gourgeauderies,47.45119,-0.644829,0,Europe/Paris,0
GOURGE-E,214745,Gourgeauderies,47.451539,-0.645661,0,Europe/Paris,0
GRILLO-E,198884,Grillonnière,47.540367,-0.582375,0,Europe/Paris,1
GRILLONN,594226,Grillonnière,47.540477,-0.582388,0,Europe/Paris,1
GUICHERE,799387,Guichardière,47.584142,-0.496842,0,Europe/Paris,0
HAUCHA-E,718288,Hautes Chapelles,47.475584,-0.380903,0,Europe/Paris,0
HAUCHAPE,330203,Hautes Chapelles,47.475581,-0.380963,0,Europe/Paris,0
JANEQUIN,297498,Collège Janequin,47.498933,-0.591453,0,Europe/Paris,0
JONCHERE,356135,Jonchères,47.383757,-0.549026,0,Europe/Paris,0
JUINDR-E,792287,Juindries,47.506171,-0.382566,0,Europe/Paris,0
LAURIE-E,371317,L'aurière,47.567796,-0.579268,0,Europe/Paris,0
LAURIERE,66217,L'aurière,47.567882,-0.5793509999999999,0,Europe/Paris,0
